,frame,tracker_id,x,y,label
187,15,1,818.2134,710.1714,
188,15,2,581.78,889.06714,
189,15,3,725.14,428.45703,
190,15,4,884.5781,100.548935,
191,15,5,1403.603,688.23047,
192,15,6,1311.0056,140.46854,
193,15,7,812.1914,239.60551,
194,15,8,1126.048,233.65227,
195,15,10,831.2849,627.3093,
196,15,11,1525.9026,301.08667,
197,15,12,861.504,516.83606,
198,16,1,819.5637,714.3108,
199,16,2,581.6171,891.2742,
200,16,3,725.04144,430.36853,
201,16,4,884.1961,102.71932,
202,16,5,1402.8152,689.8493,
203,16,6,1310.6824,142.80481,
204,16,7,811.75366,241.73099,
205,16,8,1125.2615,235.08426,
206,16,10,833.6701,627.05273,
207,16,11,1527.7771,306.5644,
208,16,12,861.03076,518.5531,
209,17,1,820.75134,716.81647,
210,17,2,581.88574,892.7346,
211,17,3,725.00464,432.0573,
212,17,4,884.0543,103.83502,
213,17,5,1402.8958,691.7699,
214,17,6,1311.2189,144.97198,
215,17,7,811.919,243.16745,
216,17,8,1124.6453,236.26117,
217,17,10,835.2361,628.2422,
218,17,11,1528.7964,308.93668,
219,17,12,860.18256,520.5145,
220,17,17,1114.5,410.0,
221,18,1,822.1986,718.03784,
222,18,2,582.6484,893.90967,
223,18,3,724.9917,433.32385,
224,18,4,884.3302,104.55795,
225,18,5,1402.968,693.7975,
226,18,6,1312.4187,146.74057,
227,18,7,811.98083,244.00797,
228,18,8,1124.4309,237.33514,
229,18,10,836.8219,631.31335,
230,18,11,1530.477,311.44598,
231,18,12,860.48584,520.2953,
232,18,17,1114.883,410.0,
233,18,13,706.0741,520.363,
234,19,1,823.0753,719.1101,
235,19,2,582.6002,894.3124,
236,19,3,725.3169,434.099,
237,19,4,884.4385,105.79147,
238,19,5,1401.7032,693.86505,
239,19,6,1314.1875,148.01843,
240,19,7,812.0031,244.95328,
241,19,8,1124.0315,238.03934,
242,19,10,836.4154,632.4386,
243,19,11,1531.748,313.33246,
244,19,12,860.59204,519.5472,
245,19,17,1112.2944,407.66968,
246,19,13,707.9757,519.0869,
247,19,16,466.07843,570.05194,
248,20,1,822.41174,719.79553,
249,20,2,582.24524,894.7562,
250,20,3,724.7809,434.3542,
251,20,4,884.4792,106.223206,
252,20,5,1400.2644,694.1926,
253,20,6,1314.1832,148.77773,
254,20,7,812.01044,245.27753,
255,20,8,1124.2319,238.93854,
256,20,10,836.5772,634.81537,
257,20,11,1532.5312,313.34116,
258,20,12,859.66077,519.5801,
259,20,17,1111.0994,406.1916,
260,20,13,706.99304,520.28156,
261,20,16,462.65335,571.85986,
262,21,1,821.1603,720.3345,
263,21,2,581.7771,895.2192,
264,21,3,724.57886,435.07605,
265,21,4,884.825,107.014305,
266,21,5,1398.4297,695.29,
267,21,6,1313.8348,149.34283,
268,21,7,812.0122,245.69743,
269,21,8,1122.657,239.90852,
270,21,10,835.6301,635.66394,
271,21,11,1533.1265,312.9566,
272,21,12,859.6083,520.8777,
273,21,17,1110.3926,406.1168,
274,21,13,708.2772,519.7104,
275,22,1,820.0245,720.4888,
276,22,2,581.5974,895.02734,
277,22,3,723.844,435.3156,
278,22,4,884.62463,107.28151,
279,22,5,1395.4651,696.00433,
280,22,6,1312.6931,149.50473,
281,22,7,811.018,245.49251,
282,22,8,1122.0735,242.59851,
283,22,10,832.944,635.27466,
284,22,11,1533.9788,313.41183,
285,22,12,859.2525,521.05176,
286,22,17,1109.4923,406.14917,
287,22,13,706.78516,520.4574,
288,22,19,1187.6,584.2,
289,23,1,819.93744,720.5053,
290,23,2,581.5294,894.9221,
291,23,3,723.5696,435.37396,
292,23,4,884.54755,107.35153,
293,23,5,1393.727,696.2441,
294,23,6,1311.5947,149.52191,
295,23,7,810.6438,245.3855,
296,23,8,1122.5292,243.87537,
297,23,10,831.92554,634.0796,
298,23,11,1534.9298,312.55,
299,23,12,859.11395,521.1085,
300,23,17,1108.8721,406.5453,
301,23,13,707.8728,520.0514,
302,23,19,1187.5226,583.65784,
303,24,1,820.90784,720.14233,
304,24,2,581.8357,895.1873,
305,24,3,723.80164,435.36658,
306,24,4,885.17883,107.019165,
307,24,5,1393.4568,697.30164,
308,24,6,1312.1777,149.48895,
309,24,7,811.1704,245.98468,
310,24,8,1122.7202,243.99437,
311,24,10,831.222,632.94055,
312,24,11,1535.2576,313.83038,
313,24,12,859.38635,522.1044,
314,24,13,708.9345,520.2097,
315,24,19,1187.886,584.25665,
316,25,1,821.61237,719.6373,
317,25,2,581.951,894.9338,
318,25,3,724.2252,435.00702,
319,25,4,885.4159,106.87073,
320,25,5,1392.7418,697.6736,
321,25,6,1312.7297,149.77316,
322,25,7,811.70044,245.86041,
323,25,8,1123.138,243.99448,
324,25,10,831.29944,632.81744,
325,25,11,1536.3408,314.9373,
326,25,12,860.15027,524.7925,
327,25,13,707.7016,520.9042,
328,25,19,1188.377,584.45996,
329,26,1,822.2112,719.4185,
330,26,2,582.6532,894.81714,
331,26,3,724.7175,434.1916,
332,26,4,885.5028,106.79292,
333,26,5,1392.1855,698.1184,
334,26,6,1313.271,149.843,
335,26,7,811.9037,245.7898,
336,26,8,1122.6459,243.95842,
337,26,10,831.67346,632.75085,
338,26,11,1538.6995,315.64856,
339,26,12,860.77106,527.13605,
340,26,13,706.8899,521.1449,
341,26,19,1188.8931,585.2464,
342,27,1,823.0979,719.3148,
343,27,2,582.91833,894.75195,
344,27,3,724.90735,434.19,
345,27,4,885.5318,106.7422,
346,27,5,1391.6882,698.5911,
347,27,6,1313.7993,149.84515,
348,27,7,812.3102,245.74466,
349,27,8,1122.7985,243.58293,
350,27,10,831.4918,633.3749,
351,27,11,1541.5344,316.21075,
352,27,12,861.3315,527.29456,
353,27,13,707.256,520.8827,
354,27,19,1189.0591,585.5093,
355,28,1,823.7573,719.25684,
356,28,2,583.0137,894.7118,
357,28,3,724.97784,434.17688,
358,28,4,885.20776,106.70778,
359,28,5,1389.5637,699.0748,
360,28,6,1313.6594,149.81662,
361,28,7,812.4618,245.71155,
362,28,8,1123.1968,243.74225,
363,28,10,831.43164,633.2595,
364,28,11,1543.5585,316.71765,
365,28,12,861.1894,527.66223,
366,28,13,708.3884,520.10724,
367,29,1,823.6653,719.5502,
368,29,2,583.045,894.68274,
369,29,3,725.0034,434.15955,
370,29,4,885.0834,106.681114,
371,29,5,1388.1426,699.8926,
372,29,6,1313.2683,149.78374,
373,29,7,812.516,245.68494,
374,29,8,1123.0222,244.44043,
375,29,10,830.75037,633.5338,
376,29,11,1544.9414,317.5329,
377,29,12,860.4608,528.1071,
378,29,13,708.8148,519.14636,
379,29,16,473.38455,567.76697,
380,29,19,1189.1176,586.0134,
381,30,1,823.6213,719.6443,
382,30,2,582.72144,894.9904,
383,30,3,724.6815,434.14197,
384,30,4,885.3662,106.658844,
385,30,5,1386.9879,700.1795,
386,30,6,1313.4492,150.08383,
387,30,7,812.20264,245.33191,
388,30,8,1122.6298,244.67987,
389,30,10,830.5039,634.28986,
390,30,11,1546.7356,317.8079,
391,30,12,860.18066,528.91437,
392,30,13,708.9746,519.0982,
393,30,17,1107.2998,417.36926,
394,31,1,823.59894,719.66754,
395,31,2,582.59534,895.0949,
396,31,3,724.559,434.1256,
397,31,4,885.4717,106.63965,
398,31,5,1387.2563,700.59424,
399,31,6,1313.5139,150.51028,
400,31,7,812.08203,245.189,
401,31,8,1122.4883,245.07925,
402,31,10,830.08826,633.89185,
403,31,11,1548.3547,317.87927,
404,31,12,860.40735,527.52075,
405,31,13,709.03076,518.7436,
406,31,17,1107.3174,418.06256,
407,32,1,823.2538,719.66296,
408,32,2,582.54584,894.79205,
409,32,3,724.8435,434.11093,
410,32,4,885.1787,106.622894,
411,32,5,1386.7461,701.05725,
412,32,6,1313.2012,150.98494,
413,32,7,812.03467,244.79367,
414,32,8,1122.4419,245.20691,
415,32,10,829.27747,633.39685,
416,32,11,1549.5757,318.5362,
417,32,12,860.16016,526.9868,
418,32,13,708.7185,518.60645,
419,32,17,1107.3131,418.2912,
420,33,1,823.44824,719.6494,
421,33,2,582.8562,894.9994,
422,33,3,724.9514,434.09787,
423,33,4,885.3971,106.608215,
424,33,5,1386.5955,701.8744,
425,33,6,1312.7505,151.14583,
426,33,7,812.01624,244.97028,
427,33,8,1122.4304,245.23474,
428,33,10,828.6514,633.1997,
429,33,11,1551.3035,318.75934,
430,33,12,860.0637,527.09753,
431,33,13,708.595,518.2196,
432,33,17,1107.3247,417.34192,
433,34,1,822.19666,718.9732,
434,34,2,582.9719,894.74036,
435,34,3,724.9916,433.75595,
436,34,4,885.14795,106.59532,
437,34,5,1386.2412,701.8236,
438,34,6,1312.9114,151.18924,
439,34,7,812.3384,245.03253,
440,34,8,1121.7684,245.89014,
441,34,10,828.76306,633.7839,
442,34,11,1552.5664,317.49146,
443,34,12,860.35724,528.7832,
444,34,13,708.54614,518.738,
445,34,17,1107.0084,416.9574,
446,35,1,821.0608,718.7095,
447,35,2,582.6828,894.63403,
448,35,3,725.0058,433.28912,
449,35,4,884.7221,106.584,
450,35,5,1385.1439,701.7814,
451,35,6,1312.6409,151.8523,
452,35,7,811.8005,245.05133,
453,35,8,1121.5254,245.45651,
454,35,10,828.8181,634.6603,
455,35,11,1553.6493,317.98212,
456,35,12,860.4675,530.0755,
457,35,13,708.197,518.93005,
458,35,17,1106.5687,416.45966,
459,36,1,818.97046,718.6035,
460,36,2,582.24097,894.58826,
461,36,3,724.3456,433.44217,
462,36,4,884.56165,106.24344,
463,36,5,1383.7681,701.74634,
464,36,6,1312.5392,151.7561,
465,36,7,811.5956,244.72406,
466,36,8,1121.1104,245.60765,
467,36,10,826.8491,635.6482,
468,36,11,1554.3364,319.47284,
469,36,12,860.8444,530.19727,
470,36,13,708.0636,518.6707,
471,36,17,1105.7488,416.9251,
472,37,1,816.8821,717.9016,
473,37,2,582.0737,894.56635,
474,37,3,724.42993,433.16705,
475,37,4,884.5027,106.44116,
476,37,5,1382.954,701.7162,
477,37,6,1311.8381,151.70367,
478,37,7,811.5189,244.59607,
479,37,8,1120.6301,245.6499,
480,37,10,827.1244,636.0038,
481,37,11,1555.2081,319.68713,
482,37,12,860.64355,530.22473,
483,37,13,707.6847,518.8994,
484,37,17,1105.4568,417.08597,
485,38,1,815.44714,717.63336,
486,38,2,582.01166,894.5541,
487,38,3,724.46387,433.06116,
488,38,4,884.48254,106.51221,
489,38,5,1381.3564,701.3582,
490,38,6,1311.5774,151.6712,
491,38,7,811.4916,244.54584,
492,38,8,1120.1272,246.31662,
493,38,10,827.922,636.1207,
494,38,11,1558.4596,321.3962,
495,38,12,860.56616,530.2171,
496,38,13,707.542,518.6565,
497,38,17,1105.3635,416.46313,
498,39,1,814.5967,716.8722,
499,39,2,581.98975,894.2155,
500,39,3,724.80945,433.021,
501,39,4,884.80725,106.53543,
502,39,5,1379.7957,701.20996,
503,39,6,1311.4838,151.64777,
504,39,7,811.8136,244.5255,
505,39,8,1120.9426,247.21768,
506,39,10,825.90125,637.4805,
507,39,11,1560.9575,323.0088,
508,39,12,860.5353,530.8645,
509,39,13,708.1498,518.89136,
510,39,17,1105.3428,415.55414,
511,39,21,848.3,478.2,
512,40,1,813.9707,716.5866,
513,40,2,581.98303,894.41516,
514,40,3,724.94006,432.34344,
515,40,4,884.6012,106.54071,
516,40,5,1378.9175,700.8128,
517,40,6,1311.7844,150.96674,
518,40,7,811.9363,244.51675,
519,40,8,1120.2651,247.21136,
520,40,10,825.1554,637.977,
521,40,11,1562.8348,324.24976,
522,40,12,860.85706,530.4199,
523,40,13,708.3824,518.9791,
524,40,17,1105.3477,414.87592,
525,40,21,849.61035,478.4312,
526,40,16,472.18814,570.0118,
527,41,1,813.76025,716.81366,
528,41,2,582.3126,894.1587,
529,41,3,725.31964,432.0893,
530,41,4,884.5239,106.20915,
531,41,5,1377.9644,700.98755,
532,41,6,1311.902,150.70233,
533,41,7,811.98254,244.51257,
534,41,8,1120.0168,247.19489,
535,41,10,825.223,637.81396,
536,41,11,1565.1362,325.68216,
537,41,12,861.6427,530.2412,
538,41,13,708.1386,518.01776,
539,41,17,1104.695,414.95282,
540,41,21,850.0502,478.12335,
541,42,1,813.37524,716.5744,
542,42,2,582.1078,894.06055,
543,42,3,725.1303,431.99677,
544,42,4,884.496,106.41237,
545,42,5,1376.6527,701.3778,
546,42,6,1312.2798,150.26721,
547,42,7,811.99945,244.51022,
548,42,8,1120.2615,246.84471,
549,42,10,824.93396,637.7377,
550,42,11,1567.2637,325.20663,
551,42,12,861.26843,528.1806,
552,42,13,708.0458,517.32214,
553,42,17,1104.1301,413.9867,
554,43,1,813.91565,716.81805,
555,43,2,581.37024,893.69275,
556,43,3,725.0567,431.9657,
557,43,4,884.48676,106.15709,
558,43,5,1375.5356,701.8489,
559,43,6,1312.4241,149.76813,
560,43,7,812.00525,244.17819,
561,43,8,1120.0316,246.6994,
562,43,10,824.51025,637.03326,
563,43,11,1568.6666,325.65265,
564,43,12,860.7982,527.73047,
565,43,13,708.0112,518.38617,
566,43,17,1103.9303,413.29178,
567,44,1,814.46826,716.9132,
568,44,2,581.09235,893.5535,
569,44,3,724.6969,431.9577,
570,44,4,884.4847,106.05853,
571,44,5,1374.8221,701.69165,
572,44,6,1312.4784,150.24481,
573,44,7,812.0068,244.05234,
574,44,8,1119.9517,245.97372,
575,44,10,824.36597,637.08606,
576,44,11,1570.1213,326.1231,
577,44,12,860.6123,528.2142,
578,44,13,707.99866,518.78973,
579,44,17,1103.2053,412.70572,
580,44,22,724.0,920.0,
581,45,1,815.0248,716.9519,
582,45,2,580.9916,893.50256,
583,45,3,724.5606,431.9581,
584,45,4,884.4851,106.020996,
585,45,5,1373.9332,701.6234,
586,45,6,1311.8342,150.42352,
587,45,7,811.67566,243.67491,
588,45,8,1120.262,246.02458,
589,45,10,823.9962,636.7688,
590,45,11,1571.9266,326.93365,
591,45,12,860.54004,529.3956,
592,45,13,707.66565,518.9436,
593,45,17,1102.9453,410.8333,
594,45,22,723.6146,920.0,
595,45,16,470.67197,571.46405,
596,45,21,847.75757,478.46768,
597,46,1,815.24866,716.96857,
598,46,2,580.958,893.8157,
599,46,3,724.51,431.96127,
600,46,4,884.1554,105.67586,
601,46,5,1372.9758,702.5818,
602,46,6,1311.9246,150.8209,
603,46,7,812.2113,243.53476,
604,46,8,1120.3838,246.03961,
605,46,10,823.8714,636.64026,
606,46,11,1573.867,327.54352,
607,46,12,860.5123,529.506,
608,46,13,707.5398,519.0003,
609,46,17,1102.8639,410.13928,
610,46,22,723.4857,919.61096,
611,46,16,469.8346,571.9101,
612,47,1,815.343,716.64655,
613,47,2,581.2812,893.60425,
614,47,3,724.82275,431.63458,
615,47,4,884.3624,105.87625,
616,47,5,1372.6508,703.2665,
617,47,6,1312.9514,151.29836,
618,47,7,812.08435,243.81476,
619,47,8,1121.0985,246.37451,
620,47,10,826.15344,637.24805,
621,47,11,1575.8572,328.74152,
622,47,12,859.8389,527.88403,
623,47,13,707.494,518.03125,
624,47,17,1102.8466,410.56433,
625,47,22,723.8335,919.1133,
626,48,1,815.71826,716.8574,
627,48,2,581.4059,893.5253,
628,48,3,725.2708,432.17313,
629,48,4,884.44336,105.62286,
630,48,5,1371.5768,703.1879,
631,48,6,1313.3413,151.47534,
632,48,7,812.3646,244.25238,
633,48,8,1121.0359,246.49612,
634,48,10,825.6988,637.4725,
635,48,11,1577.1995,329.82764,
636,48,12,859.5873,527.60364,
637,48,13,707.8097,518.32324,
638,48,17,1103.1846,412.4015,
639,48,22,723.5912,918.5979,
640,49,1,815.8662,716.9394,
641,49,2,581.4551,893.4967,
642,49,3,725.4402,432.05084,
643,49,4,884.8045,105.85823,
644,49,5,1370.8757,703.1467,
645,49,6,1313.8157,151.53688,
646,49,7,812.4702,244.42004,
647,49,8,1121.3433,246.5375,
648,49,10,825.86584,637.5491,
649,49,11,1578.9641,330.537,
650,49,12,859.49536,526.84216,
651,49,13,707.93024,518.10425,
652,49,17,1102.989,413.42337,
653,49,22,723.5084,918.7882,
654,50,1,815.92566,716.9713,
655,50,2,581.4751,893.48724,
656,50,3,725.5022,432.33646,
657,50,4,884.611,105.61797,
658,50,5,1369.9862,703.7825,
659,50,6,1313.6584,151.22394,
660,50,7,812.5082,244.15216,
661,50,8,1121.4587,246.5487,
662,50,10,825.5977,637.90454,
663,50,11,1580.887,331.43613,
664,50,12,859.46436,526.8867,
665,50,13,707.97595,518.0226,
666,50,17,1102.9231,414.14282,
667,50,22,723.48206,918.52234,
668,51,1,815.9512,716.98425,
669,51,2,581.48364,893.485,
670,51,3,725.52313,432.4445,
671,51,4,884.5378,105.52832,
672,51,5,1369.3536,704.3428,
673,51,6,1313.593,151.10115,
674,51,7,812.5204,243.71875,
675,51,8,1121.5007,246.21802,
676,51,10,825.1692,638.03064,
677,51,11,1582.8679,331.41864,
678,51,12,859.45667,525.91785,
679,51,13,708.65265,517.9931,
680,51,17,1102.5771,414.74304,
681,51,22,723.1328,918.4364,
682,52,1,816.2919,716.66064,
683,52,2,581.15735,893.1549,
684,52,3,725.52856,432.4853,
685,52,4,884.5101,105.49577,
686,52,6,1313.8959,151.05244,
687,52,7,812.5231,243.88707,
688,52,8,1121.8448,246.09071,
689,52,10,825.012,637.7395,
690,52,11,1584.5417,331.04913,
691,52,12,859.12885,526.21625,
692,52,13,708.24854,517.9836,
693,52,17,1102.4531,414.96686,
694,52,22,723.0084,918.4148,
695,53,1,816.42413,716.53796,
696,53,2,581.03534,893.03174,
697,53,3,725.5283,432.50024,
698,53,4,884.49994,105.485016,
699,53,6,1314.6682,151.36348,
700,53,7,812.5222,243.6216,
701,53,8,1121.9733,246.04074,
702,53,10,825.29065,637.2903,
703,53,11,1586.0972,331.87527,
704,53,12,859.6631,525.6834,
705,53,13,708.4231,517.98157,
706,53,17,1102.7429,415.3747,
707,53,22,722.9673,918.4153,
708,53,5,1367.5195,704.5952,
709,54,1,817.1355,715.5022,
710,54,2,581.32117,892.6577,
711,54,3,726.1864,432.5053,
712,54,4,884.82666,105.48245,
713,54,6,1314.9531,151.47842,
714,54,7,813.18066,243.19302,
715,54,8,1121.6887,245.36063,
716,54,10,827.06555,637.1172,
717,54,11,1587.9402,333.49017,
718,54,12,859.8705,525.48755,
719,54,13,708.4879,518.31226,
720,54,17,1102.8596,415.1947,
721,54,22,723.2921,918.42267,
722,54,5,1367.2166,704.2777,
723,55,1,817.0731,715.11523,
724,55,2,581.43164,892.5189,
725,55,3,726.10254,432.50665,
726,55,4,884.9502,105.48285,
727,55,6,1315.3835,152.17955,
728,55,7,813.096,243.03278,
729,55,8,1121.9087,245.43362,
730,55,10,828.0609,637.05066,
731,55,11,1590.8799,335.06122,
732,55,12,859.9507,525.4215,
733,55,13,708.1819,518.43787,
734,55,17,1102.9093,415.11963,
735,55,22,723.4169,918.76587,
736,55,5,1366.7919,704.4916,
737,56,1,817.0466,714.9749,
738,56,2,581.80457,892.4706,
739,56,3,726.0666,432.5066,
740,56,4,884.9957,105.15398,
741,56,6,1314.8818,153.7541,
742,56,7,813.06067,242.97668,
743,56,8,1122.3212,245.46342,
744,56,10,828.75964,637.02454,
745,56,11,1591.9147,336.96188,
746,56,12,860.3109,526.06335,
747,56,13,708.3935,518.1559,
748,56,17,1103.5901,415.08527,
749,56,22,723.1322,918.89844,
750,56,5,1365.6719,705.88544,
751,57,1,817.36395,714.92896,
752,57,2,581.9451,892.12573,
753,57,3,725.71936,432.50613,
754,57,4,885.0115,105.36228,
755,57,6,1315.6652,155.00046,
756,57,7,813.0449,242.62906,
757,57,8,1122.8044,245.14508,
758,57,10,829.34644,637.0138,
759,57,11,1594.5593,339.29318,
760,57,12,860.11615,524.657,
761,57,13,708.8042,517.38684,
762,57,17,1103.8523,415.06744,
763,57,22,723.02625,918.9509,
764,57,5,1364.9487,706.40173,
765,58,1,817.4817,714.58856,
766,58,2,581.9968,891.99976,
767,58,3,725.9158,432.17523,
768,58,4,885.016,104.78212,
769,58,6,1315.959,156.11816,
770,58,7,813.036,242.50133,
771,58,8,1123.3119,244.69722,
772,58,10,829.5541,636.6784,
773,58,11,1598.4713,341.12766,
774,58,12,859.38684,524.139,
775,58,17,1103.9523,415.05655,
776,58,22,722.9885,918.6406,
777,58,5,1363.718,706.5853,
778,59,1,817.5232,714.46625,
779,59,2,582.01447,891.6261,
780,59,3,725.6593,432.37976,
781,59,4,885.01636,104.56436,
782,59,6,1316.0635,156.5323,
783,59,7,813.03033,242.45804,
784,59,8,1123.4983,244.53027,
785,59,10,828.95575,636.5512,
786,59,11,1602.5337,343.44067,
787,59,12,859.1084,523.9512,
788,59,17,1103.9897,414.71927,
789,59,22,722.9768,918.52527,
790,59,5,1362.9534,706.3097,
791,59,13,708.9877,517.0429,
792,60,1,818.19434,714.7562,
793,60,2,582.01953,892.1509,
794,60,3,725.8904,432.45856,
795,60,4,884.6851,104.4857,
796,60,6,1317.7346,157.32837,
797,60,7,813.02625,242.44647,
798,60,8,1123.8923,244.14069,
799,60,10,829.0523,636.173,
800,60,11,1605.6215,345.91577,
801,60,12,859.00525,523.2324,
802,60,17,1104.0033,414.58905,
803,60,22,722.6428,918.8164,
804,60,5,1362.0364,705.8652,
805,60,13,709.3584,516.6394,
806,61,1,818.7761,714.87354,
807,61,2,582.0198,892.35474,
808,61,3,726.3071,431.82715,
809,61,4,885.2197,104.46005,
810,61,6,1318.3633,157.61249,
